SMILES
O=C(C1=CC=C(C=C1)C2=CC=CC=C2)O[C@@H]3C[NH2+][C@@H](C3)C([O-])=O
N[C@@H](C(O)=O)CCN(CC1=C(OCC2=CC=CC(C)=C2)C=CC=C1)CC3=C(OCC4=CC=CC(C)=C4)C=CC=C3
N[C@@H](C(O)=O)CCN1CC(C(OCC2=CC(C)=CC=C2)=CC=C3)=C3C(C=CC=C4OCC5=CC(C)=CC=C5)=C4C1
N[C@H](CCN1CC2=C(C3=C(C1)C(OC)=CC=C3)C=CC=C2OC)C(O)=O
